Category,,,,Payment Per Service,Payment Per Service,Payment Per Service,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services
Otology,,69930,Implantation of cochlear device,23062.155605987664,947.2185692484088,3026.022650701899,4725463.3582536,0.7164,1870660.8157463996,0.28359999999999996,4164557.97,4694007.58,6277113.34,8438188.15,9406753.83,6596124.174,32980620.869999997,1422857.2290000003,150548.05074599083,-2863306906.719001,303655492.9942432,0.983618851805812,0.0025106163169677943,204.90120000000002,0.094,1974.8988000000002,0.906,1626.0,1818.0,2191.0,2587.0,2677.0,2179.8,10899.0,287.1,29.706733243492142,-576900.9,59918.495680298955,0.9843171961271626,0.002352042360422789
Otology,,Total,Total,4954.006691604039,589.492230757872,1540.7450006246615,5185528.2311308,0.7007866489185469,2214053.7088691997,0.2992133510814531,4787333.32,5388392.66,7171236.7,9337471.06,10313475.96,7399581.94,36997909.7,1500136.3680000002,148657.11066671723,-3018375472.3160005,299841465.91684717,0.9855877216783165,0.0020724865060386985,1046.7342,0.21795156790072046,3755.8658000000005,0.7820484320992795,4449.0,4626.0,4741.0,5143.0,5054.0,4802.6,24013.0,172.70000000000002,36.8945795476788,-343533.30000000005,74416.38523947529,0.9378542670661018,0.018423004365441253
Otology,F,69433,Incision of eardrum with insertion of eardrum tube under local or topical anesthesia,100.51354737986446,108.92464880252284,108.00279208659947,11805.050783999997,0.102,103930.741216,0.898,137111.76,95794.52,105930.47,119417.25,120424.96,115735.79199999999,578678.96,-975.087000000001,5706.032361752459,2082486.271000002,11509070.102624299,-0.09818496534471349,0.8751881710591881,117.44735999999999,0.1096,954.1526399999999,0.8904,1272.0,885.0,987.0,1101.0,1113.0,1071.6,5358.0,-10.200000000000001,52.812498520710044,21645.0,106522.83569995685,-0.11082034593702504,0.8591885010058393
Otology,F,69436,Incision of eardrum with insertion of eardrum tube under general anesthesia,406.98139901869575,139.05394208042384,287.8876444096339,923664.9597280002,0.7853,252528.80027200005,0.2147,1291093.18,1541750.79,989017.79,1045676.06,1013430.98,1176193.7600000002,5880968.800000001,-105139.913,61873.86151258083,213243398.281,124799609.34705496,-0.7003179025732122,0.18783140662381526,2269.5508,0.5555,1816.0492,0.4445,4371.0,4125.0,3889.0,4011.0,4032.0,4085.6,20428.0,-79.2,47.38804349903747,163832.0,95581.70723187573,-0.6943757494697931,0.1932540300708185
Otology,F,Total,Total,391.9022754973553,128.67637886198216,250.50987977972542,935470.0105120002,0.7240874775747836,356459.5414880001,0.27591252242521663,1428204.94,1637545.31,1094948.26,1165093.31,1133855.94,1291929.552,6459647.76,-106115.0,59243.460903817184,215325884.552,119494090.01506352,-0.7188703854856369,0.17118823540094316,2386.99816,0.4628477003024898,2770.2018399999997,0.5371522996975102,5643.0,5010.0,4876.0,5112.0,5145.0,5157.2,25786.0,-89.4,92.9177413988667,185477.00000000003,187415.13046880712,-0.48560084939901405,0.40695479279071956
Otology,,Total,Total,1782.607844731032,393.8839423915624,872.6592393421556,6120998.2416428,0.7042501465109723,2570513.2503571995,0.29574985348902755,6215538.26,7025937.97,8266184.96,10502564.370000001,11447331.9,8691511.492,43457557.46,1394021.3680000005,132537.311129937,-2803049587.764001,267327822.2591944,0.9867106507120429,0.001835362323359704,3433.73236,0.3447591678547762,6526.067639999999,0.6552408321452238,10092.0,9636.0,9617.0,10255.0,10199.0,9959.8,49799.0,83.30000000000001,102.43793242739723,-158056.30000000005,206617.36049332833,0.42498075151598724,0.47565817558322976
Rhinology,,30465,Widening of nasal passage,1565.9596965823291,674.9173558668369,905.9646348143639,266858.2611756,0.4482,328541.69682440005,0.5518000000000001,423255.25,460478.9,747604.4,606739.83,738921.41,595399.958,2976999.79,77759.325,32282.894431047363,-156245158.567,65114614.07282187,0.8118862102027359,0.09512925031531144,170.41196,0.2593,486.78804,0.7407,483.0,514.0,792.0,687.0,810.0,657.2,3286.0,82.7,28.789986685188545,-166148.69999999998,58069.41741769071,0.8563683302969237,0.06391811050987269
Rhinology,,30802,Destruction of soft tissue in nasal passages,333.4835450131039,81.74351879067358,170.2049640052356,71624.155149,0.6885,32405.118851000003,0.3115,93891.34,144814.17,68066.24,98175.24,115199.38,104029.274,520146.37,-402.2849999999992,10355.269048358055,915438.1189999983,20886582.804533128,-0.022423459330187516,0.9714519576128516,214.77568000000002,0.3514,396.4243200000001,0.6486000000000001,553.0,609.0,491.0,725.0,678.0,611.2,3056.0,36.6,26.992097608991667,-73211.0,54443.07425963381,0.6164307243518372,0.2681515422055013
Rhinology,,30930,Therapeutic fracture of nasal passages,430.8151299794557,63.455190428090184,249.5229998108568,230732.99469000002,0.8745,33112.62530999998,0.12549999999999994,266267.33,230010.14,285853.59,267984.22,269112.82,263845.62,1319228.1,4366.505999999994,7045.714510715103,-8543396.981999988,14211209.661277283,0.3368906177206336,0.5793154296368275,535.5731,0.5065,521.8269000000001,0.4935000000000001,1052.0,953.0,1057.0,1091.0,1134.0,1057.4,5287.0,30.200000000000003,17.131647128438452,-59856.00000000001,34554.54075168704,0.7133044574774458,0.1761348418887453
Rhinology,,31231,Diagnostic examination of nasal passages using an endoscope,33.995237238904664,45.33605563992704,45.32698298520622,974.6951243999998,0.0006,1623517.1788755998,0.9994,1561172.64,1473524.08,1495479.72,1726503.13,1865779.8,1624491.8739999998,8122459.369999999,86219.33700000001,35465.079047882304,-172279910.85500002,71533082.02265976,0.8144384289774966,0.09323787565326513,28.67152,0.0008,35810.72848,0.9991999999999999,33396.0,32245.0,32767.0,38601.0,42188.0,35839.4,179197.0,2394.0,794.7400665207041,-4792858.6,1602991.1081930676,0.8669094054300829,0.057106975553228925
Rhinology,,31237,Biopsy or removal of nasal polyp or tissue using an endoscope,422.30777338472376,157.85593790494661,173.40570583115752,114126.47975679999,0.1432,682846.1442432,0.8568,689656.89,700877.99,831306.55,817973.23,945048.46,796972.624,3984863.1199999996,62787.83799999999,12746.262948344089,-125846096.62199998,25709218.686225682,0.9433821894586006,0.016033944533439475,270.2448,0.0588,4325.7552000000005,0.9412000000000001,4011.0,3961.0,4811.0,4766.0,5431.0,4596.0,22980.0,364.5,79.41399960544318,-730600.5,160178.07657650902,0.9356000975287024,0.01942769738101112
Rhinology,,31238,Control of nasal bleeding using an endoscope,421.23102290098774,140.26542592658114,167.2381232361242,17194.31337,0.24179999999999996,53915.336630000005,0.7582,103707.75,65452.13,57244.23,70939.82,58204.32,71109.65000000001,355548.25000000006,-8551.917,4906.176613296447,17320326.238999996,9895760.661431432,-0.7093498057544051,0.17967389192522223,40.8192,0.096,384.3808,0.904,581.0,379.0,360.0,456.0,350.0,425.2,2126.0,-38.5,27.349771479849696,78079.7,55164.502634484066,-0.6307002261889488,0.253948260755418
Rhinology,,31254,Partial removal of nasal sinus using an endoscope,722.082427472653,152.8545236681606,469.45908376421926,388368.71203700005,0.8555,65598.22196299999,0.14449999999999996,278635.35,433153.49,514211.15,551675.73,492158.95,453966.934,2269834.67,54556.94400000001,23126.295910548346,-109587389.11400002,46645750.3172642,0.8060702338767343,0.09948222090714778,537.8454,0.5562,429.15459999999996,0.4438,891.0,890.0,927.0,1081.0,1046.0,967.0,4835.0,50.1,15.75002645500424,-100084.7,31767.81116838238,0.8782448372879003,0.050057595962399025
Rhinology,,31256,Incision of nasal sinus using an endoscope,453.43347339694907,104.84911575640724,277.32865591694735,812583.001134,0.809,191845.92486599996,0.19099999999999998,1021363.93,1035079.99,1059938.69,913926.8,991835.22,1004428.926,5022144.63,-18021.061000000012,17709.946197758378,37352908.96300002,35720970.26121777,-0.5065443807439803,0.38380184029854786,1792.0666400000002,0.4948,1829.73336,0.5052,3599.0,3847.0,3956.0,3242.0,3465.0,3621.8,18109.0,-87.30000000000001,92.2940770941812,179705.90000000002,186157.1992570526,-0.4792951318889648,0.41398729924814087
Rhinology,,31259,Removal of tissue from sphenoid sinus using an endoscope,686.4141154711718,484.24968962041004,551.5502269861286,108723.7538514,0.4143,153703.8441486,0.5857,0.0,0.0,0.0,560920.86,751217.13,262427.598,1312137.99,206335.512,60242.490958156544,-415916300.106,121509134.1299709,0.8923847168278222,0.04168762313918171,158.39382,0.33290000000000003,317.40618,0.6671,0.0,0.0,0.0,1016.0,1363.0,475.8,2379.0,374.20000000000005,109.21544457325314,-754285.6000000001,220287.6058517137,0.8924469125767027,0.041651891468686156
Rhinology,,31276,Exploration of nasal sinus using an endoscope,825.1952296126187,435.84030381860697,590.8035642846236,1720698.4131005998,0.5559,1374639.6208994002,0.44410000000000005,3551553.36,3919275.81,4510942.92,1568753.14,1926164.94,3095338.034,15476690.17,-560129.951,339161.44719558395,1132877449.201,684088807.1449085,-0.6900805665371519,0.19720073314224573,2085.2016,0.39799999999999996,3153.9984,0.602,5855.0,6240.0,7061.0,3202.0,3838.0,5239.2,26196.0,-707.2,440.1512012933737,1431661.6,887785.1912294324,-0.6800845505300942,0.2064720108371313
Rhinology,,Total,Total,639.6781624590393,95.26831906466207,154.6453461007811,3731884.7793888003,0.4511460403728898,4540125.7126112,0.5488539596271103,7989503.84,8462666.700000001,9570647.49,7183592.0,8153642.43,8272010.492000001,41360052.46,-95079.75200000015,311495.42907684407,200047870.27600032,628286434.8829924,-0.17355395629552295,0.7801386408079127,5834.003720000001,0.10906677709187854,47656.19627999999,0.8909332229081214,50421.0,49638.0,52222.0,54867.0,60303.0,53490.2,267451.0,2499.3,624.8354956839971,-4987597.9,1260293.504579163,0.9176605015688957,0.028009687418598415
Rhinology,C,31253,Complete examination of nose and sinuses using an endoscope,747.2705052613005,535.3089216514578,669.777350293542,242248.95676279996,0.7078,100007.2692372,0.2922,0.0,0.0,0.0,831021.41,880259.72,342256.22599999997,1711281.13,259154.08499999996,83296.40641151712,-522371533.2189999,168008893.02920216,0.8737288166000424,0.05283096731049218,324.17839999999995,0.6344,186.82160000000002,0.36560000000000004,0.0,0.0,0.0,1260.0,1295.0,511.0,2555.0,385.0,126.0647981529076,-776034.0,254272.76037554632,0.8698438446968965,0.055254163397438605
Rhinology,C,31257,Complete examination of nose and sinuses and removal of nasal sinus using an endoscope,733.6285965962825,454.9149006060613,576.5734289057929,109454.2320092,0.5554,87618.56599080001,0.44460000000000005,0.0,0.0,0.0,439556.46,545807.53,197072.798,985363.99,153117.152,45635.76098075479,-308640222.786,92047352.52374284,0.8885845871067883,0.04388916280940186,149.19570000000002,0.43650000000000005,192.6043,0.5635,0.0,0.0,0.0,750.0,959.0,341.8,1709.0,266.8,78.78713939046992,-537793.7999999999,158913.69921211957,0.8903009237760445,0.04289037817918813
Rhinology,C,Total,Total,742.9709161781348,494.4992822788323,632.4214634146341,351703.18877199996,0.6521124825872526,187625.835228,0.3478875174127473,0.0,0.0,0.0,1270577.87,1426067.25,539329.024,2696645.12,412271.237,128320.07066150842,-831011756.005,258821646.14352617,0.8802350965880668,0.04885041849488965,473.3741,0.5550821998123827,379.4259,0.4449178001876173,0.0,0.0,0.0,2010.0,2254.0,852.8,4264.0,651.8000000000001,202.9650544634059,-1313827.8,409380.6154798734,0.8801459056768016,0.0489043170682342
Rhinology,H,30130,Removal of nasal air passage,383.6124464566495,250.99893652113352,307.10771257485027,108420.69263199999,0.5285,96727.259368,0.47150000000000003,227895.47,229411.98,216179.41,165502.7,186750.2,205147.952,1025739.76,-14619.981999999998,5775.4371942582275,29693651.645999994,11649059.68419836,-0.825301866044556,0.08531887201441088,282.63079999999997,0.4230999999999999,385.3692,0.5769,717.0,762.0,717.0,548.0,596.0,668.0,3340.0,-45.6,20.353869410998982,92643.2,41053.76469314355,-0.7911374728789666,0.11092450721512735
Rhinology,H,30140,Removal of nasal air passage,382.3243449067004,267.7247267294758,328.48544428704025,2489785.7967378004,0.6171,1544869.5212622003,0.3829,4090571.97,4163402.15,4804703.77,3414962.46,3699636.24,4034655.318000001,20173276.590000004,-153031.115,170757.99995385934,312698414.273,344418970.566319,-0.4595437687726242,0.4361919594857325,6512.23452,0.5302,5770.36548,0.4698,9942.0,11063.0,12663.0,13489.0,14256.0,12282.6,61413.0,1105.4,89.65742207610812,-2217309.2,180839.06477838318,0.990275799641127,0.001149423880766168
Rhinology,H,31240,Removal of nasal breathing passages using an endoscope,247.8921226666667,79.46367695238096,188.94216666666668,46405.40536320001,0.8528,8009.9386368000005,0.1472,53348.63,27758.99,47718.67,62021.47,81228.96,54415.344000000005,272076.72000000003,9002.314000000002,4909.009106295485,-18103251.994000003,9901473.801214803,0.7269942964909941,0.16404167507414952,187.20000000000002,0.65,100.8,0.35,180.0,176.0,280.0,339.0,465.0,288.0,1440.0,73.3,12.210787580387006,-147558.1,24629.164603575187,0.9608044820568103,0.009260160540999783
Rhinology,H,Total,Total,378.77215029162755,263.6614042179337,324.37105237713956,2644611.8947330005,0.6158540429476608,1649606.7192670004,0.3841459570523394,4371816.07,4420573.12,5068601.85,3642486.6300000004,3967615.4000000004,4294218.614,21471093.07,-158648.78299999997,173338.40673202442,324288813.92499995,349623652.3172069,-0.4672044153385108,0.4275485055523215,6982.06532,0.5274020908555285,6256.534680000001,0.47259790914447153,10839.0,12001.0,13660.0,14376.0,15317.0,13238.6,66193.0,1133.1000000000001,89.73685604774249,-2272224.1,180999.28313855195,0.9907227350980886,0.0010711702710922463
Rhinology,J,31267,Removal of nasal sinus tissue using an endoscope,803.2117537484588,173.49602711123913,491.7543553536899,3610783.7563200006,0.8255,763272.8836800001,0.1745,2454520.71,4313264.94,4546272.86,5081500.91,5474723.78,4374056.640000001,21870283.200000003,680864.2110000001,162701.8801167778,-1368929056.9470003,328169772.860816,0.9239827837558989,0.024870628420579716,4495.431919999999,0.5054,4399.36808,0.49460000000000004,7561.0,8394.0,9166.0,9227.0,10126.0,8894.8,44474.0,596.3000000000001,76.1239997197553,-1193842.3,153542.14517594146,0.9764155398618548,0.004332418390230534
Rhinology,J,31288,Removal of nasal sinus tissue using an endoscope,971.1859636313318,153.82230333072104,430.66337507453784,330980.11813440005,0.7638000000000001,102353.36986559999,0.23619999999999997,460441.25,585987.47,820141.39,132215.78,167881.55,433333.488,2166667.44,-103889.109,86960.8260083694,209977666.341,175400029.17282027,-0.5677805642285733,0.31805751930220183,340.79994,0.3387,665.40006,0.6613,1395.0,1421.0,1705.0,236.0,274.0,1006.2,5031.0,-342.70000000000005,159.8371984238963,692232.1000000001,322391.7084660056,-0.7778857062131052,0.12138697299272078
Rhinology,J,Total,Total,815.0485726410977,170.91132893313454,485.5459173820827,3941763.8744544005,0.8199384217844364,865626.2535456001,0.18006157821556354,2914961.96,4899252.41,5366414.25,5213716.69,5642605.33,4807390.1280000005,24036950.64,576975.1020000001,218777.97301004283,-1158951390.6060002,441275280.0282599,0.8358520558596618,0.07783838836165803,4836.231859999999,0.4884589294010705,5064.76814,0.5115410705989294,8956.0,9815.0,10871.0,9463.0,10400.0,9901.0,49505.0,253.60000000000002,233.74034026386346,-501610.20000000007,471454.38219734473,0.5308546596091673,0.3573397518715893
Rhinology,,Total,Total,588.6657317505803,122.02425446823266,231.18672138002597,10669963.7373482,0.5956564817621771,7242984.520651801,0.40434351823782283,15276281.870000001,17782492.23,20005663.590000004,17310373.19,19189930.41,17912948.258,89564741.29,735517.804,514211.4223653637,-1465626462.41,1037164693.8496392,0.6367638387850714,0.24797612614105732,18125.675,0.2339321989711238,59356.925,0.7660678010288762,70216.0,71454.0,76753.0,80716.0,88274.0,77482.6,387413.0,4537.8,596.4537087374559,-9075260.0,1203047.4262367038,0.9750505991580926,0.004712941285746164
Total,,Total,Total,558.6250311047495,137.216842867757,259.7660369118782,40062759.9571834,0.6253606567259407,23999317.8928166,0.3746179547905904,58667070.89,61352081.82000001,63911899.11,66782630.370000005,69603558.16,64063448.07000001,320317240.35,2730352.308999999,33613.27866468328,-5443057159.182999,67797999.73165107,0.9997727376129005,4.112542491098576e-06,71716.72898000001,0.29079874762691404,174900.67101999998,0.7091915207943563,242937.0,233972.0,243999.0,251313.0,260878.0,246619.8,1233099.0,5322.3,2020.330615683153,-10488459.299999999,4075007.853484068,0.8355754836214128,0.07803177290210368
